ID,FIRSTNAME,LASTNAME,EMAIL,STATUS,STATUS_DESCR,RATING,JOINED
63d0d36e-6043-47f6-a4f5-19df2606a17d,Adam,Brumann,adam.bru@nomail.com,3,Active,4.2,2012-10-15
5d2ae43b-dc40-41f7-8a85-76e49e94ba16,Rene,Hammond,rene.h@nomail.com,3,Active,4.9,2010-11-25
d5d2ec4e-0ca9-4fe1-bae5-f6a974f684e6,Richard,Roy,richard.roy@nomail.com,3,Active,4.5,2013-10-20
4932e113-dfb4-460f-add9-95e185fde115,Sam,Ghun,sam_gh@nomail.com,3,Active,4.1,2015-01-12
02bc82d5-26b0-4f9a-95c5-67f03c4c4d0b,Rajesh,Tiwari,raj.t@nomail.com,3,Active,3.9,2013-11-23
2d13163f-86e5-4874-939f-e6d03234e3e0,Manoj,Baksi,manoj.b@nomail.com,3,Active,4.5,2010-09-10
f59209a0-3f64-444e-9dea-5a0c098b3a24,Nina,Perrie,nina.love@nolaim.com,3,Active,4.4,2014-08-20
88abb55c-6830-4d14-a9b2-479dacb3bf67,Robin,Hackmann,robhackmann@nomail.com,3,Active,4.5,2010-05-02
c5f75eed-2c57-4dc6-806d-652f801b4713,Jerrad,Cross,jerrad.cross@nomail.com,3,Active,4.1,2011-06-10
b3ce0ef1-ccc9-436f-b67d-8134ec2f011d,Hector,Torres,hector@nomail.com,3,Active,4.4,2018-10-10
27b81a9c-de30-4f9a-8b6a-95eba01b4317,Martin,Levis,matrin.levis@nomail.com,3,Active,4.8,2019-11-11
11605ca6-3326-4b3f-9722-89ea1bf770a7,Ratan,Mallick,ratan.mallick@nomail.com,3,Active,4.0,2018-10-16
4e4e2690-560f-4ce9-98e4-eea1dfdf11cf,Sophie,McDonald,sophie.m@nomail.com,3,Active,4.6,2017-06-04
d19a7059-d22d-478b-8bf6-ecfc728e8ede,Yalina,Zuricov,yzuricov@nomail.com,3,Active,4.1,2015-08-10
df18e591-f087-4366-81e7-01beec8142a3,Melica,Rodd,melica.rodd@nomail.com,3,Active,4.3,2016-05-11
ffc27506-c57a-4073-bf8a-1d2c0a0584c5,Yaki,Chiy,yaki.chi@nomail.com,3,Active,4.6,2013-08-05
e488ef60-bc20-452b-b8aa-bdd8c2934edb,Happy,Chauf,happy.ch@nomail.com,3,Active,4.8,2017-06-20
36a00731-7f07-42a8-a141-f4303d41a10b,Nice,Guy,nice.guy@nomail.com,3,Active,4.2,2016-04-09
c78b9ea5-89af-4173-af65-efa75368bc4d,Rima,Bhat,rima.bhat@nomail.com,3,Active,4.1,2012-10-11
2ff87b1c-045a-44ee-b4fa-b6f7723d8481,Natali,Leopold,natali.leo@nomail.com,3,Active,3.9,2014-07-12
